==========> Fault Simulation Begins at                    0 
Undetected fault:   SerialFS_TB.FUT.N69 to 0 at                11520
Undetected fault:   SerialFS_TB.FUT._0842_/Y to 0 at                11730
Undetected fault:   SerialFS_TB.FUT._0842_/A to 1 at                11940
Undetected fault:   SerialFS_TB.FUT.N69 to 1 at                12150
Undetected fault:   SerialFS_TB.FUT.N72 to 0 at                12360
Undetected fault:   SerialFS_TB.FUT.N72 to 1 at                12570
Undetected fault:   SerialFS_TB.FUT.N76 to 0 at                12780
Undetected fault:   SerialFS_TB.FUT.N76 to 1 at                12990
Undetected fault:   SerialFS_TB.FUT.N79 to 0 at                13200
Undetected fault:   SerialFS_TB.FUT.N79 to 1 at                13410
Undetected fault:   SerialFS_TB.FUT.N82 to 0 at                13620
Undetected fault:   SerialFS_TB.FUT.N82 to 1 at                13830
Undetected fault:   SerialFS_TB.FUT.N85 to 0 at                14040
Undetected fault:   SerialFS_TB.FUT.N85 to 1 at                14250
Undetected fault:   SerialFS_TB.FUT.N88 to 0 at                14460
Undetected fault:   SerialFS_TB.FUT.N88 to 1 at                14670
Undetected fault:   SerialFS_TB.FUT.N91 to 0 at                14880
Undetected fault:   SerialFS_TB.FUT.N91 to 1 at                15090
Undetected fault:   SerialFS_TB.FUT.N94 to 0 at                15300
Undetected fault:   SerialFS_TB.FUT.N94 to 1 at                15510
Undetected fault:   SerialFS_TB.FUT.N99 to 0 at                15720
Undetected fault:   SerialFS_TB.FUT.N104 to 1 at                16350
Undetected fault:   SerialFS_TB.FUT._0840_/Y to 0 at                16560
Undetected fault:   SerialFS_TB.FUT._0844_/B to 0 at                16980
Undetected fault:   SerialFS_TB.FUT._0844_/A to 0 at                17190
Undetected fault:   SerialFS_TB.FUT._0845_/Y to 0 at                17400
Undetected fault:   SerialFS_TB.FUT._0845_/A to 1 at                17610
Undetected fault:   SerialFS_TB.FUT._0844_/Y to 1 at                17820
Undetected fault:   SerialFS_TB.FUT._0845_/Y to 1 at                18030
Undetected fault:   SerialFS_TB.FUT._0845_/A to 0 at                18240
Undetected fault:   SerialFS_TB.FUT._0844_/Y to 0 at                18450
Undetected fault:   SerialFS_TB.FUT._0844_/B to 1 at                18660
Undetected fault:   SerialFS_TB.FUT._0844_/A to 1 at                18870
Undetected fault:   SerialFS_TB.FUT._0840_/Y to 1 at                19080
Undetected fault:   SerialFS_TB.FUT._0840_/A to 0 at                19290
Undetected fault:   SerialFS_TB.FUT._0841_/Y to 0 at                19500
Undetected fault:   SerialFS_TB.FUT._0841_/A to 1 at                19710
Undetected fault:   SerialFS_TB.FUT._0843_/B to 0 at                19920
Undetected fault:   SerialFS_TB.FUT._0843_/A to 0 at                20130
Undetected fault:   SerialFS_TB.FUT._0843_/Y to 1 at                20340
Undetected fault:   SerialFS_TB.FUT._0843_/Y to 0 at                20550
Undetected fault:   SerialFS_TB.FUT._0843_/A to 1 at                20760
Undetected fault:   SerialFS_TB.FUT._0843_/B to 1 at                20970
Undetected fault:   SerialFS_TB.FUT._0841_/Y to 1 at                21180
Undetected fault:   SerialFS_TB.FUT._0841_/A to 0 at                21390
Undetected fault:   SerialFS_TB.FUT._0846_/Y to 0 at                21600
Undetected fault:   SerialFS_TB.FUT._0846_/A to 1 at                21810
Undetected fault:   SerialFS_TB.FUT._0846_/B to 1 at                22020
Undetected fault:   SerialFS_TB.FUT._0846_/A to 0 at                22440
Undetected fault:   SerialFS_TB.FUT._0846_/Y to 1 at                22650
Undetected fault:   SerialFS_TB.FUT._0847_/Y to 0 at                22860
Undetected fault:   SerialFS_TB.FUT._0847_/A to 1 at                23070
Undetected fault:   SerialFS_TB.FUT._0848_/Y to 0 at                23700
Undetected fault:   SerialFS_TB.FUT._0848_/A to 1 at                23910
Undetected fault:   SerialFS_TB.FUT._0848_/B to 0 at                24330
Undetected fault:   SerialFS_TB.FUT._0848_/A to 0 at                24540
Undetected fault:   SerialFS_TB.FUT._0848_/Y to 1 at                24750
Undetected fault:   SerialFS_TB.FUT._0849_/Y to 0 at                24960
Undetected fault:   SerialFS_TB.FUT._0849_/A to 1 at                25170
Undetected fault:   SerialFS_TB.FUT._0853_/B to 0 at                25380
Undetected fault:   SerialFS_TB.FUT._0854_/B to 0 at                25590
Undetected fault:   SerialFS_TB.FUT._0854_/Y to 1 at                25800
Undetected fault:   SerialFS_TB.FUT._0853_/A to 0 at                26010
Undetected fault:   SerialFS_TB.FUT._0854_/Y to 0 at                26220
Undetected fault:   SerialFS_TB.FUT._0854_/B to 1 at                26430
Undetected fault:   SerialFS_TB.FUT._0854_/A to 1 at                26640
Undetected fault:   SerialFS_TB.FUT._0853_/Y to 1 at                26850
Undetected fault:   SerialFS_TB.FUT._0853_/Y to 0 at                27060
Undetected fault:   SerialFS_TB.FUT._0853_/A to 1 at                27270
Undetected fault:   SerialFS_TB.FUT._0853_/B to 1 at                27480
Undetected fault:   SerialFS_TB.FUT._0849_/Y to 1 at                27690
Undetected fault:   SerialFS_TB.FUT._0849_/A to 0 at                27900
Undetected fault:   SerialFS_TB.FUT._0854_/A to 0 at                28110
Undetected fault:   SerialFS_TB.FUT._0850_/Y to 0 at                28320
Undetected fault:   SerialFS_TB.FUT._0850_/A to 1 at                28530
Undetected fault:   SerialFS_TB.FUT._0850_/Y to 1 at                28740
Undetected fault:   SerialFS_TB.FUT._0850_/A to 0 at                28950
Undetected fault:   SerialFS_TB.FUT._0852_/Y to 1 at                29160
Undetected fault:   SerialFS_TB.FUT._0852_/A to 0 at                29370
Undetected fault:   SerialFS_TB.FUT._0851_/Y to 0 at                29580
Undetected fault:   SerialFS_TB.FUT._0851_/B to 1 at                29790
Undetected fault:   SerialFS_TB.FUT._0851_/A to 1 at                30000
Undetected fault:   SerialFS_TB.FUT._0851_/B to 0 at                30210
Undetected fault:   SerialFS_TB.FUT._0851_/A to 0 at                30420
Undetected fault:   SerialFS_TB.FUT._0852_/Y to 0 at                30630
Undetected fault:   SerialFS_TB.FUT._0852_/A to 1 at                30840
Undetected fault:   SerialFS_TB.FUT._0851_/Y to 1 at                31050
Undetected fault:   SerialFS_TB.FUT._0855_/Y to 0 at                31260
Undetected fault:   SerialFS_TB.FUT._0855_/A to 1 at                31470
Undetected fault:   SerialFS_TB.FUT._0855_/Y to 1 at                31680
Undetected fault:   SerialFS_TB.FUT._0855_/A to 0 at                31890
Undetected fault:   SerialFS_TB.FUT._0856_/Y to 0 at                32100
Undetected fault:   SerialFS_TB.FUT._0856_/A to 1 at                32310
Undetected fault:   SerialFS_TB.FUT._0856_/Y to 1 at                32520
Undetected fault:   SerialFS_TB.FUT._0856_/A to 0 at                32730
Undetected fault:   SerialFS_TB.FUT._0859_/Y to 1 at                32940
Undetected fault:   SerialFS_TB.FUT._0859_/A to 0 at                33150
Undetected fault:   SerialFS_TB.FUT._0858_/Y to 0 at                33360
Undetected fault:   SerialFS_TB.FUT._0858_/A to 1 at                33570
Undetected fault:   SerialFS_TB.FUT._0858_/B to 1 at                33780
Undetected fault:   SerialFS_TB.FUT._0858_/A to 0 at                34200
Undetected fault:   SerialFS_TB.FUT._0859_/Y to 0 at                34410
Undetected fault:   SerialFS_TB.FUT._0859_/A to 1 at                34620
Undetected fault:   SerialFS_TB.FUT._0858_/Y to 1 at                34830
Undetected fault:   SerialFS_TB.FUT._0860_/Y to 0 at                35040
Undetected fault:   SerialFS_TB.FUT._0860_/A to 1 at                35250
Undetected fault:   SerialFS_TB.FUT._0860_/B to 1 at                35460
Undetected fault:   SerialFS_TB.FUT._0860_/B to 0 at                35670
Undetected fault:   SerialFS_TB.FUT._0860_/A to 0 at                35880
Undetected fault:   SerialFS_TB.FUT._0860_/Y to 1 at                36090
Undetected fault:   SerialFS_TB.FUT._0861_/Y to 0 at                36300
Undetected fault:   SerialFS_TB.FUT._0861_/Y to 1 at                36720
Undetected fault:   SerialFS_TB.FUT._0861_/A to 0 at                36930
Undetected fault:   SerialFS_TB.FUT._0862_/Y to 0 at                37140
Undetected fault:   SerialFS_TB.FUT._0862_/A to 1 at                37350
Undetected fault:   SerialFS_TB.FUT._0862_/B to 1 at                37560
Undetected fault:   SerialFS_TB.FUT._0865_/B to 0 at                37770
Undetected fault:   SerialFS_TB.FUT._0864_/B to 0 at                38190
Undetected fault:   SerialFS_TB.FUT._0864_/A to 0 at                38400
Undetected fault:   SerialFS_TB.FUT._0862_/B to 0 at                39450
Undetected fault:   SerialFS_TB.FUT._0865_/Y to 0 at                39870
Undetected fault:   SerialFS_TB.FUT._0865_/A to 1 at                40080
Undetected fault:   SerialFS_TB.FUT._0865_/B to 1 at                40290
Undetected fault:   SerialFS_TB.FUT._0864_/Y to 1 at                40500
Undetected fault:   SerialFS_TB.FUT._0862_/Y to 1 at                40710
Undetected fault:   SerialFS_TB.FUT._0863_/Y to 0 at                40920
Undetected fault:   SerialFS_TB.FUT._0863_/A to 1 at                41130
Undetected fault:   SerialFS_TB.FUT._0866_/Y to 0 at                41760
Undetected fault:   SerialFS_TB.FUT._0866_/B to 1 at                42180
Undetected fault:   SerialFS_TB.FUT._0866_/B to 0 at                42390
Undetected fault:   SerialFS_TB.FUT._0866_/A to 0 at                42600
Undetected fault:   SerialFS_TB.FUT._0866_/Y to 1 at                42810
Undetected fault:   SerialFS_TB.FUT._0867_/Y to 0 at                43020
Undetected fault:   SerialFS_TB.FUT._0867_/B to 1 at                43230
Undetected fault:   SerialFS_TB.FUT._0867_/Y to 1 at                43650
Undetected fault:   SerialFS_TB.FUT._0867_/B to 0 at                43860
Undetected fault:   SerialFS_TB.FUT._0867_/A to 0 at                44070
Undetected fault:   SerialFS_TB.FUT._0868_/Y to 0 at                44280
Undetected fault:   SerialFS_TB.FUT._0868_/A to 1 at                44490
Undetected fault:   SerialFS_TB.FUT._0869_/A to 0 at                44700
Undetected fault:   SerialFS_TB.FUT._0869_/B to 0 at                44910
Undetected fault:   SerialFS_TB.FUT._0869_/Y to 1 at                45120
Undetected fault:   SerialFS_TB.FUT._0869_/Y to 0 at                45330
Undetected fault:   SerialFS_TB.FUT._0869_/B to 1 at                45540
Undetected fault:   SerialFS_TB.FUT._0869_/A to 1 at                45750
Undetected fault:   SerialFS_TB.FUT._0868_/Y to 1 at                45960
Undetected fault:   SerialFS_TB.FUT._0868_/A to 0 at                46170
Undetected fault:   SerialFS_TB.FUT._0870_/Y to 0 at                46380
Undetected fault:   SerialFS_TB.FUT._0870_/A to 1 at                46590
Undetected fault:   SerialFS_TB.FUT._0870_/Y to 1 at                46800
Undetected fault:   SerialFS_TB.FUT._0871_/Y to 1 at                47640
Undetected fault:   SerialFS_TB.FUT._0871_/A to 0 at                47850
Undetected fault:   SerialFS_TB.FUT._0872_/Y to 0 at                48060
Undetected fault:   SerialFS_TB.FUT._0872_/A to 1 at                48270
Undetected fault:   SerialFS_TB.FUT._0872_/B to 1 at                48480
Undetected fault:   SerialFS_TB.FUT._0874_/B to 0 at                48690
Undetected fault:   SerialFS_TB.FUT._0874_/Y to 1 at                48900
Undetected fault:   SerialFS_TB.FUT._0873_/A to 0 at                49320
Undetected fault:   SerialFS_TB.FUT._0873_/Y to 0 at                49530
Undetected fault:   SerialFS_TB.FUT._0873_/B to 1 at                49950
Undetected fault:   SerialFS_TB.FUT._0874_/A to 0 at                50160
Undetected fault:   SerialFS_TB.FUT._0872_/B to 0 at                50370
Undetected fault:   SerialFS_TB.FUT._0874_/Y to 0 at                50790
Undetected fault:   SerialFS_TB.FUT._0874_/A to 1 at                51000
Undetected fault:   SerialFS_TB.FUT._0874_/B to 1 at                51210
Undetected fault:   SerialFS_TB.FUT._0873_/Y to 1 at                51420
Undetected fault:   SerialFS_TB.FUT._0872_/Y to 1 at                51630
Undetected fault:   SerialFS_TB.FUT._0875_/Y to 0 at                51840
Undetected fault:   SerialFS_TB.FUT._0875_/A to 1 at                52050
Undetected fault:   SerialFS_TB.FUT._0882_/B to 0 at                52260
Undetected fault:   SerialFS_TB.FUT._0884_/Y to 1 at                52470
Undetected fault:   SerialFS_TB.FUT._0883_/B to 0 at                52680
Undetected fault:   SerialFS_TB.FUT._0883_/A to 0 at                52890
Undetected fault:   SerialFS_TB.FUT._0883_/Y to 0 at                53100
Undetected fault:   SerialFS_TB.FUT._0883_/A to 1 at                53310
Undetected fault:   SerialFS_TB.FUT._0883_/B to 1 at                53520
Undetected fault:   SerialFS_TB.FUT._0884_/A to 0 at                53730
Undetected fault:   SerialFS_TB.FUT._0884_/Y to 0 at                53940
Undetected fault:   SerialFS_TB.FUT._0884_/A to 1 at                54150
Undetected fault:   SerialFS_TB.FUT._0884_/B to 1 at                54360
Undetected fault:   SerialFS_TB.FUT._0883_/Y to 1 at                54570
Undetected fault:   SerialFS_TB.FUT._0882_/Y to 1 at                54780
Undetected fault:   SerialFS_TB.FUT._0881_/Y to 0 at                54990
Undetected fault:   SerialFS_TB.FUT._0881_/A to 1 at                55200
Undetected fault:   SerialFS_TB.FUT._0882_/A to 0 at                55410
Undetected fault:   SerialFS_TB.FUT._0882_/Y to 0 at                55620
Undetected fault:   SerialFS_TB.FUT._0882_/A to 1 at                55830
Undetected fault:   SerialFS_TB.FUT._0882_/B to 1 at                56040
Undetected fault:   SerialFS_TB.FUT._0881_/Y to 1 at                56250
Undetected fault:   SerialFS_TB.FUT._0881_/A to 0 at                56460
Undetected fault:   SerialFS_TB.FUT._0875_/Y to 1 at                56670
Undetected fault:   SerialFS_TB.FUT._0875_/A to 0 at                56880
Undetected fault:   SerialFS_TB.FUT._0884_/B to 0 at                57090
Undetected fault:   SerialFS_TB.FUT._0876_/Y to 0 at                57300
Undetected fault:   SerialFS_TB.FUT._0876_/A to 1 at                57510
Undetected fault:   SerialFS_TB.FUT._0877_/Y to 0 at                58140
Undetected fault:   SerialFS_TB.FUT._0880_/B to 0 at                58770
Undetected fault:   SerialFS_TB.FUT._0880_/Y to 1 at                58980
Undetected fault:   SerialFS_TB.FUT._0879_/A to 0 at                59400
Undetected fault:   SerialFS_TB.FUT._0879_/Y to 0 at                59610
Undetected fault:   SerialFS_TB.FUT._0879_/A to 1 at                59820
Undetected fault:   SerialFS_TB.FUT._0879_/B to 1 at                60030
Undetected fault:   SerialFS_TB.FUT._0880_/A to 0 at                60240
Undetected fault:   SerialFS_TB.FUT._0877_/B to 0 at                60450
Undetected fault:   SerialFS_TB.FUT._0877_/A to 0 at                60660
Undetected fault:   SerialFS_TB.FUT._0880_/Y to 0 at                60870
Undetected fault:   SerialFS_TB.FUT._0880_/A to 1 at                61080
Undetected fault:   SerialFS_TB.FUT._0880_/B to 1 at                61290
Undetected fault:   SerialFS_TB.FUT._0879_/Y to 1 at                61500
Undetected fault:   SerialFS_TB.FUT._0877_/Y to 1 at                61710
Undetected fault:   SerialFS_TB.FUT._0878_/Y to 0 at                61920
Undetected fault:   SerialFS_TB.FUT._0878_/Y to 1 at                62340
Undetected fault:   SerialFS_TB.FUT._0878_/A to 0 at                62550
Undetected fault:   SerialFS_TB.FUT._0885_/Y to 0 at                62760
Undetected fault:   SerialFS_TB.FUT._0885_/B to 1 at                62970
Undetected fault:   SerialFS_TB.FUT._0885_/A to 1 at                63180
Undetected fault:   SerialFS_TB.FUT._0890_/B to 0 at                63390
Undetected fault:   SerialFS_TB.FUT._0890_/Y to 1 at                63600
Undetected fault:   SerialFS_TB.FUT._0889_/B to 0 at                63810
Undetected fault:   SerialFS_TB.FUT._0889_/A to 0 at                64020
Undetected fault:   SerialFS_TB.FUT._0889_/Y to 0 at                64230
Undetected fault:   SerialFS_TB.FUT._0889_/B to 1 at                64440
Undetected fault:   SerialFS_TB.FUT._0889_/A to 1 at                64650
Undetected fault:   SerialFS_TB.FUT._0890_/A to 0 at                64860
Undetected fault:   SerialFS_TB.FUT._0885_/B to 0 at                65070
Undetected fault:   SerialFS_TB.FUT._0885_/A to 0 at                65280
Undetected fault:   SerialFS_TB.FUT._0890_/Y to 0 at                65490
Undetected fault:   SerialFS_TB.FUT._0890_/A to 1 at                65700
Undetected fault:   SerialFS_TB.FUT._0890_/B to 1 at                65910
Undetected fault:   SerialFS_TB.FUT._0889_/Y to 1 at                66120
Undetected fault:   SerialFS_TB.FUT._0885_/Y to 1 at                66330
Undetected fault:   SerialFS_TB.FUT._0887_/Y to 1 at                66540
Undetected fault:   SerialFS_TB.FUT._0887_/B to 0 at                66750
Undetected fault:   SerialFS_TB.FUT._0887_/A to 0 at                66960
Undetected fault:   SerialFS_TB.FUT._0886_/Y to 0 at                67170
Undetected fault:   SerialFS_TB.FUT._0886_/A to 1 at                67380
Undetected fault:   SerialFS_TB.FUT._0887_/A to 1 at                67590
Undetected fault:   SerialFS_TB.FUT._0887_/Y to 0 at                67800
Undetected fault:   SerialFS_TB.FUT._0886_/Y to 1 at                68010
Undetected fault:   SerialFS_TB.FUT._0886_/A to 0 at                68220
Undetected fault:   SerialFS_TB.FUT._0887_/B to 1 at                68430
Undetected fault:   SerialFS_TB.FUT._0888_/Y to 0 at                68640
Undetected fault:   SerialFS_TB.FUT._0888_/A to 1 at                68850
Undetected fault:   SerialFS_TB.FUT._0888_/Y to 1 at                69060
Undetected fault:   SerialFS_TB.FUT._0888_/A to 0 at                69270
Undetected fault:   SerialFS_TB.FUT._0891_/Y to 0 at                69480
Undetected fault:   SerialFS_TB.FUT._0891_/B to 1 at                69690
Undetected fault:   SerialFS_TB.FUT._0891_/A to 1 at                69900
Undetected fault:   SerialFS_TB.FUT._0891_/Y to 1 at                70110
Undetected fault:   SerialFS_TB.FUT._0891_/B to 0 at                70320
Undetected fault:   SerialFS_TB.FUT._0891_/A to 0 at                70530
Undetected fault:   SerialFS_TB.FUT._0892_/Y to 0 at                70740
Undetected fault:   SerialFS_TB.FUT._0892_/A to 1 at                70950
Undetected fault:   SerialFS_TB.FUT._0892_/B to 1 at                71160
Undetected fault:   SerialFS_TB.FUT._0898_/B to 0 at                71370
Undetected fault:   SerialFS_TB.FUT._0898_/Y to 1 at                71580
Undetected fault:   SerialFS_TB.FUT._0897_/B to 0 at                71790
Undetected fault:   SerialFS_TB.FUT._0897_/A to 0 at                72000
Undetected fault:   SerialFS_TB.FUT._0897_/Y to 0 at                72210
Undetected fault:   SerialFS_TB.FUT._0897_/B to 1 at                72420
Undetected fault:   SerialFS_TB.FUT._0897_/A to 1 at                72630
Undetected fault:   SerialFS_TB.FUT._0898_/A to 0 at                72840
Undetected fault:   SerialFS_TB.FUT._0892_/B to 0 at                73050
Undetected fault:   SerialFS_TB.FUT._0892_/A to 0 at                73260
Undetected fault:   SerialFS_TB.FUT._0898_/Y to 0 at                73470
Undetected fault:   SerialFS_TB.FUT._0898_/A to 1 at                73680
Undetected fault:   SerialFS_TB.FUT._0898_/B to 1 at                73890
Undetected fault:   SerialFS_TB.FUT._0897_/Y to 1 at                74100
Undetected fault:   SerialFS_TB.FUT._0892_/Y to 1 at                74310
Undetected fault:   SerialFS_TB.FUT._0896_/Y to 0 at                74520
Undetected fault:   SerialFS_TB.FUT._0896_/B to 1 at                74730
Undetected fault:   SerialFS_TB.FUT._0896_/A to 1 at                74940
Undetected fault:   SerialFS_TB.FUT._0895_/Y to 1 at                75150
Undetected fault:   SerialFS_TB.FUT._0895_/A to 0 at                75360
Undetected fault:   SerialFS_TB.FUT._0895_/B to 0 at                75570
Undetected fault:   SerialFS_TB.FUT._0894_/Y to 0 at                75780
Undetected fault:   SerialFS_TB.FUT._0893_/Y to 0 at                75990
Undetected fault:   SerialFS_TB.FUT._0896_/B to 0 at                76200
Undetected fault:   SerialFS_TB.FUT._0896_/Y to 1 at                76410
Undetected fault:   SerialFS_TB.FUT._0895_/Y to 0 at                76620
Undetected fault:   SerialFS_TB.FUT._0896_/A to 0 at                76830
Undetected fault:   SerialFS_TB.FUT._0894_/B to 1 at                77040
Undetected fault:   SerialFS_TB.FUT._0894_/A to 1 at                77250
Undetected fault:   SerialFS_TB.FUT._0894_/Y to 1 at                77460
Undetected fault:   SerialFS_TB.FUT._0894_/B to 0 at                77670
Undetected fault:   SerialFS_TB.FUT._0894_/A to 0 at                77880
Undetected fault:   SerialFS_TB.FUT._0895_/A to 1 at                78090
Undetected fault:   SerialFS_TB.FUT._0893_/B to 1 at                78300
Undetected fault:   SerialFS_TB.FUT._0893_/A to 1 at                78510
Undetected fault:   SerialFS_TB.FUT._0893_/Y to 1 at                78720
Undetected fault:   SerialFS_TB.FUT._0893_/B to 0 at                78930
Undetected fault:   SerialFS_TB.FUT._0893_/A to 0 at                79140
Undetected fault:   SerialFS_TB.FUT._0895_/B to 1 at                79350
Undetected fault:   SerialFS_TB.FUT._0899_/Y to 0 at                79560
Undetected fault:   SerialFS_TB.FUT._0899_/A to 1 at                79770
Undetected fault:   SerialFS_TB.FUT._0899_/Y to 1 at                79980
Undetected fault:   SerialFS_TB.FUT._0899_/A to 0 at                80190
Undetected fault:   SerialFS_TB.FUT._0900_/Y to 0 at                80400
Undetected fault:   SerialFS_TB.FUT._0900_/A to 1 at                80610
Undetected fault:   SerialFS_TB.FUT._0900_/B to 1 at                80820
Undetected fault:   SerialFS_TB.FUT._0903_/B to 0 at                81030
Undetected fault:   SerialFS_TB.FUT._0903_/Y to 1 at                81240
Undetected fault:   SerialFS_TB.FUT._0902_/B to 0 at                81450
Undetected fault:   SerialFS_TB.FUT._0902_/A to 0 at                81660
Undetected fault:   SerialFS_TB.FUT._0902_/Y to 0 at                81870
Undetected fault:   SerialFS_TB.FUT._0903_/A to 0 at                82500
Undetected fault:   SerialFS_TB.FUT._0903_/Y to 0 at                83130
Undetected fault:   SerialFS_TB.FUT._0903_/A to 1 at                83340
Undetected fault:   SerialFS_TB.FUT._0903_/B to 1 at                83550
Undetected fault:   SerialFS_TB.FUT._0902_/Y to 1 at                83760
Undetected fault:   SerialFS_TB.FUT._0900_/Y to 1 at                83970
Undetected fault:   SerialFS_TB.FUT._0901_/Y to 0 at                84180
Undetected fault:   SerialFS_TB.FUT._0901_/A to 1 at                84390
Undetected fault:   SerialFS_TB.FUT._0904_/Y to 0 at                85020
Undetected fault:   SerialFS_TB.FUT._0904_/A to 1 at                85230
Undetected fault:   SerialFS_TB.FUT._0905_/A to 0 at                85440
Undetected fault:   SerialFS_TB.FUT._0907_/Y to 1 at                85650
Undetected fault:   SerialFS_TB.FUT._0906_/A to 0 at                86070
Undetected fault:   SerialFS_TB.FUT._0906_/Y to 0 at                86280
Undetected fault:   SerialFS_TB.FUT._0906_/B to 1 at                86490
Undetected fault:   SerialFS_TB.FUT._0906_/A to 1 at                86700
Undetected fault:   SerialFS_TB.FUT._0907_/A to 0 at                86910
Undetected fault:   SerialFS_TB.FUT._0905_/B to 0 at                87120
Undetected fault:   SerialFS_TB.FUT._0907_/Y to 0 at                87330
Undetected fault:   SerialFS_TB.FUT._0907_/A to 1 at                87540
Undetected fault:   SerialFS_TB.FUT._0907_/B to 1 at                87750
Undetected fault:   SerialFS_TB.FUT._0906_/Y to 1 at                87960
Undetected fault:   SerialFS_TB.FUT._0905_/Y to 1 at                88170
Undetected fault:   SerialFS_TB.FUT._0905_/Y to 0 at                88380
Undetected fault:   SerialFS_TB.FUT._0905_/A to 1 at                88800
Undetected fault:   SerialFS_TB.FUT._0904_/Y to 1 at                89010
Undetected fault:   SerialFS_TB.FUT._0904_/A to 0 at                89220
Undetected fault:   SerialFS_TB.FUT._0907_/B to 0 at                89430
Undetected fault:   SerialFS_TB.FUT._0908_/Y to 0 at                89640
Undetected fault:   SerialFS_TB.FUT._0908_/Y to 1 at                90060
Undetected fault:   SerialFS_TB.FUT._0908_/A to 0 at                90270
Undetected fault:   SerialFS_TB.FUT._0909_/Y to 0 at                90480
Undetected fault:   SerialFS_TB.FUT._0909_/A to 1 at                90690
Undetected fault:   SerialFS_TB.FUT._0913_/Y to 1 at                91320
Undetected fault:   SerialFS_TB.FUT._0913_/A to 0 at                91530
Undetected fault:   SerialFS_TB.FUT._0913_/B to 0 at                91740
Undetected fault:   SerialFS_TB.FUT._0912_/Y to 0 at                91950
Undetected fault:   SerialFS_TB.FUT._0910_/Y to 0 at                92160
Undetected fault:   SerialFS_TB.FUT._0913_/Y to 0 at                92370
Undetected fault:   SerialFS_TB.FUT._0912_/B to 1 at                92580
Undetected fault:   SerialFS_TB.FUT._0912_/A to 1 at                92790
Undetected fault:   SerialFS_TB.FUT._0912_/Y to 1 at                93000
Undetected fault:   SerialFS_TB.FUT._0912_/B to 0 at                93420
Undetected fault:   SerialFS_TB.FUT._0913_/A to 1 at                93630
Undetected fault:   SerialFS_TB.FUT._0910_/Y to 1 at                94260
Undetected fault:   SerialFS_TB.FUT._0910_/A to 0 at                94470
Undetected fault:   SerialFS_TB.FUT._0910_/B to 0 at                94680
Undetected fault:   SerialFS_TB.FUT._0913_/B to 1 at                94890
Undetected fault:   SerialFS_TB.FUT._0911_/Y to 0 at                95100
Undetected fault:   SerialFS_TB.FUT._0911_/Y to 1 at                95520
Undetected fault:   SerialFS_TB.FUT._0911_/A to 0 at                95730
Undetected fault:   SerialFS_TB.FUT._0914_/Y to 0 at                95940
Undetected fault:   SerialFS_TB.FUT._0914_/B to 1 at                96150
Undetected fault:   SerialFS_TB.FUT._0914_/A to 1 at                96360
