#### LBIST Run is done
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.G298	S@1 
FAULT DETECTED : BIST_TB.DUT.DUT._545_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._545_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._549_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._549_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._549_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._549_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._554_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._554_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._554_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._554_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._557_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._557_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._557_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._556_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._556_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._555_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._555_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._560_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._560_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._560_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._560_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._561_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._561_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._562_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._562_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._563_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._563_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._563_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._563_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._571_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._571_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._571_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._572_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._572_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._572_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._573_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._573_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._573_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._575_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._576_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._575_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._575_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._579_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._579_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._579_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._579_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._580_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._580_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._580_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._580_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._582_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._581_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._582_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._584_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._585_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._584_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._586_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._588_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._586_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._589_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._589_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._590_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._590_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._591_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._592_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._592_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._591_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._592_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._593_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._593_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._593_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._593_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._594_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._594_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._595_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._595_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._601_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._601_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._602_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._603_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._603_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._605_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._605_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._605_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._604_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._604_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._604_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._606_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._606_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._608_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._608_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._608_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._608_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._618_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._621_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._619_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._619_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._617_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._617_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._617_.Y	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._615_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._616_.Y	S@0 
#### LBIST Run is done
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._635_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._635_.A	S@0 
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._628_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._627_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._627_.Y	S@1 
#### LBIST Run is done
#### LBIST Run is done
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._648_.A	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._648_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._650_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._651_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._651_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._651_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._650_.B	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._649_.B	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._649_.A	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT._649_.Y	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.DFF_0.Q	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.DFF_0.Q	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.DFF_1.Q	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.DFF_1.Q	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.DFF_2.Q	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.DFF_2.Q	S@1 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.DFF_3.Q	S@0 
#### LBIST Run is done
FAULT DETECTED : BIST_TB.DUT.DUT.DFF_3.Q	S@1 


==========> # of Detected Faults: 277.000000 
==========> # of Injected Faults: 306.000000 
==========> Fault Coverage Typical: 0.905229 
==========> Fault Simulation Time:          12855160000 
==========> BIST Run Time:             42000000 
