==========> Fault Simulation Begins at                    0 
Detected fault : s@0  SerialFS_TB.FUT._647_.A
Detected fault : s@0  SerialFS_TB.FUT._652_.A
Detected fault : s@1  SerialFS_TB.FUT._659_.Y
Detected fault : s@0  SerialFS_TB.FUT._669_.Y
Detected fault : s@1  SerialFS_TB.FUT._670_.Y
Detected fault : s@0  SerialFS_TB.FUT._671_.Y
Detected fault : s@0  SerialFS_TB.FUT._676_.Y
Detected fault : s@1  SerialFS_TB.FUT._676_.B
Detected fault : s@0  SerialFS_TB.FUT._680_.B
Detected fault : s@0  SerialFS_TB.FUT._682_.Y
Detected fault : s@1  SerialFS_TB.FUT._682_.B
Detected fault : s@0  SerialFS_TB.FUT._686_.B
Test Vector number           1 is:  100001111010110011010001011110110001 
Detected fault : s@1  SerialFS_TB.FUT._448_.A
Detected fault : s@0  SerialFS_TB.FUT._450_.B
Detected fault : s@1  SerialFS_TB.FUT._464_.Y
Detected fault : s@0  SerialFS_TB.FUT._466_.B
Detected fault : s@0  SerialFS_TB.FUT._468_.Y
Detected fault : s@0  SerialFS_TB.FUT._471_.B
Detected fault : s@0  SerialFS_TB.FUT._472_.Y
Detected fault : s@1  SerialFS_TB.FUT._473_.Y
Detected fault : s@0  SerialFS_TB.FUT._479_.Y
Detected fault : s@1  SerialFS_TB.FUT._479_.B
Detected fault : s@0  SerialFS_TB.FUT._491_.B
Detected fault : s@1  SerialFS_TB.FUT._494_.B
Detected fault : s@1  SerialFS_TB.FUT._495_.Y
Detected fault : s@1  SerialFS_TB.FUT._498_.B
Detected fault : s@0  SerialFS_TB.FUT._502_.Y
Detected fault : s@1  SerialFS_TB.FUT._502_.B
Detected fault : s@1  SerialFS_TB.FUT._541_.B
Detected fault : s@1  SerialFS_TB.FUT._542_.Y
Detected fault : s@1  SerialFS_TB.FUT._544_.Y
Detected fault : s@0  SerialFS_TB.FUT._552_.Y
Detected fault : s@0  SerialFS_TB.FUT._585_.Y
Detected fault : s@0  SerialFS_TB.FUT._587_.Y
Detected fault : s@1  SerialFS_TB.FUT._599_.Y
Detected fault : s@1  SerialFS_TB.FUT._613_.Y
Detected fault : s@1  SerialFS_TB.FUT._614_.A
Detected fault : s@0  SerialFS_TB.FUT._621_.Y
Detected fault : s@1  SerialFS_TB.FUT._622_.Y
Detected fault : s@0  SerialFS_TB.FUT._622_.A
Detected fault : s@0  SerialFS_TB.FUT._623_.B
Detected fault : s@0  SerialFS_TB.FUT._624_.Y
Detected fault : s@1  SerialFS_TB.FUT._627_.Y
Detected fault : s@0  SerialFS_TB.FUT._633_.Y
Detected fault : s@1  SerialFS_TB.FUT._636_.Y
Detected fault : s@1  SerialFS_TB.FUT._637_.A
Detected fault : s@1  SerialFS_TB.FUT._644_.Y
Detected fault : s@0  SerialFS_TB.FUT._665_.B
Detected fault : s@0  SerialFS_TB.FUT._673_.Y
Detected fault : s@1  SerialFS_TB.FUT._673_.B
Detected fault : s@1  SerialFS_TB.FUT._675_.B
Detected fault : s@1  SerialFS_TB.FUT._676_.Y
Detected fault : s@1  SerialFS_TB.FUT._678_.A
Detected fault : s@0  SerialFS_TB.FUT._680_.Y
Detected fault : s@1  SerialFS_TB.FUT._684_.A
Detected fault : s@1  SerialFS_TB.FUT._687_.Y
Detected fault : s@1  SerialFS_TB.FUT._694_.A
Detected fault : s@0  SerialFS_TB.FUT._698_.Y
Detected fault : s@1  SerialFS_TB.FUT._702_.A
Test Vector number           2 is:  000110000100100100001011000010100010 
Detected fault : s@1  SerialFS_TB.FUT._457_.Y
Detected fault : s@1  SerialFS_TB.FUT._460_.A
Detected fault : s@0  SerialFS_TB.FUT._464_.Y
Detected fault : s@0  SerialFS_TB.FUT._465_.A
Detected fault : s@0  SerialFS_TB.FUT._468_.A
Detected fault : s@0  SerialFS_TB.FUT._471_.A
Detected fault : s@0  SerialFS_TB.FUT._474_.A
Detected fault : s@0  SerialFS_TB.FUT._475_.B
Detected fault : s@0  SerialFS_TB.FUT._476_.A
Detected fault : s@0  SerialFS_TB.FUT._477_.Y
Detected fault : s@1  SerialFS_TB.FUT._478_.Y
Detected fault : s@0  SerialFS_TB.FUT._478_.A
Detected fault : s@1  SerialFS_TB.FUT._479_.A
Detected fault : s@0  SerialFS_TB.FUT._480_.A
Detected fault : s@0  SerialFS_TB.FUT._482_.A
Detected fault : s@0  SerialFS_TB.FUT._485_.A
Detected fault : s@0  SerialFS_TB.FUT._486_.B
Detected fault : s@0  SerialFS_TB.FUT._487_.A
Detected fault : s@0  SerialFS_TB.FUT._488_.B
Detected fault : s@1  SerialFS_TB.FUT._495_.B
Detected fault : s@1  SerialFS_TB.FUT._498_.A
Detected fault : s@1  SerialFS_TB.FUT._501_.A
Detected fault : s@1  SerialFS_TB.FUT._525_.Y
Detected fault : s@0  SerialFS_TB.FUT._531_.Y
Detected fault : s@1  SerialFS_TB.FUT._531_.B
Detected fault : s@1  SerialFS_TB.FUT._532_.Y
Detected fault : s@1  SerialFS_TB.FUT._536_.Y
Detected fault : s@0  SerialFS_TB.FUT._537_.Y
Detected fault : s@0  SerialFS_TB.FUT._539_.Y
Detected fault : s@1  SerialFS_TB.FUT._539_.B
Detected fault : s@0  SerialFS_TB.FUT._540_.A
Detected fault : s@1  SerialFS_TB.FUT._545_.B
Detected fault : s@1  SerialFS_TB.FUT._546_.Y
Detected fault : s@0  SerialFS_TB.FUT._547_.Y
Detected fault : s@0  SerialFS_TB.FUT._549_.Y
Detected fault : s@0  SerialFS_TB.FUT._550_.A
Detected fault : s@1  SerialFS_TB.FUT._551_.Y
Detected fault : s@1  SerialFS_TB.FUT._561_.B
Detected fault : s@1  SerialFS_TB.FUT._573_.A
Detected fault : s@0  SerialFS_TB.FUT._591_.Y
Detected fault : s@1  SerialFS_TB.FUT._596_.Y
Detected fault : s@1  SerialFS_TB.FUT._597_.A
Detected fault : s@0  SerialFS_TB.FUT._613_.B
Detected fault : s@1  SerialFS_TB.FUT._629_.Y
Detected fault : s@1  SerialFS_TB.FUT._639_.Y
Detected fault : s@0  SerialFS_TB.FUT._639_.B
Detected fault : s@1  SerialFS_TB.FUT._648_.Y
Detected fault : s@0  SerialFS_TB.FUT._648_.B
Detected fault : s@0  SerialFS_TB.FUT._662_.Y
Detected fault : s@0  SerialFS_TB.FUT._663_.A
Detected fault : s@1  SerialFS_TB.FUT._665_.Y
Detected fault : s@0  SerialFS_TB.FUT._665_.A
Detected fault : s@0  SerialFS_TB.FUT._666_.Y
Detected fault : s@1  SerialFS_TB.FUT._671_.Y
Detected fault : s@0  SerialFS_TB.FUT._689_.Y
Detected fault : s@0  SerialFS_TB.FUT._690_.A
Detected fault : s@0  SerialFS_TB.FUT._692_.Y
Detected fault : s@1  SerialFS_TB.FUT._692_.B
Detected fault : s@0  SerialFS_TB.FUT._696_.B
Detected fault : s@1  SerialFS_TB.FUT._699_.B
Detected fault : s@1  SerialFS_TB.FUT._700_.Y
Detected fault : s@0  SerialFS_TB.FUT._703_.Y
Test Vector number           3 is:  101001110101100011000011000101111000 
Detected fault : s@1  SerialFS_TB.FUT._530_.Y
Detected fault : s@1  SerialFS_TB.FUT._531_.A
Detected fault : s@0  SerialFS_TB.FUT._543_.Y
Detected fault : s@0  SerialFS_TB.FUT._550_.B
Detected fault : s@1  SerialFS_TB.FUT._578_.A
Detected fault : s@0  SerialFS_TB.FUT._640_.B
Detected fault : s@1  SerialFS_TB.FUT._691_.Y
Test Vector number           4 is:  000111010011101000001000100010011001 
Detected fault : s@0  SerialFS_TB.FUT._475_.Y
Detected fault : s@0  SerialFS_TB.FUT._478_.B
Detected fault : s@1  SerialFS_TB.FUT._496_.Y
Detected fault : s@0  SerialFS_TB.FUT._507_.Y
Detected fault : s@0  SerialFS_TB.FUT._512_.Y
Detected fault : s@1  SerialFS_TB.FUT._514_.B
Detected fault : s@0  SerialFS_TB.FUT._525_.Y
Detected fault : s@0  SerialFS_TB.FUT._530_.Y
Detected fault : s@1  SerialFS_TB.FUT._533_.Y
Detected fault : s@1  SerialFS_TB.FUT._534_.A
Detected fault : s@1  SerialFS_TB.FUT._538_.A
Detected fault : s@1  SerialFS_TB.FUT._541_.A
Detected fault : s@1  SerialFS_TB.FUT._542_.B
Detected fault : s@1  SerialFS_TB.FUT._545_.A
Detected fault : s@1  SerialFS_TB.FUT._548_.A
Detected fault : s@1  SerialFS_TB.FUT._549_.Y
Detected fault : s@0  SerialFS_TB.FUT._550_.Y
Detected fault : s@1  SerialFS_TB.FUT._553_.A
Detected fault : s@1  SerialFS_TB.FUT._554_.B
Detected fault : s@1  SerialFS_TB.FUT._556_.A
Detected fault : s@1  SerialFS_TB.FUT._557_.B
Detected fault : s@1  SerialFS_TB.FUT._560_.A
Detected fault : s@1  SerialFS_TB.FUT._563_.A
Detected fault : s@1  SerialFS_TB.FUT._564_.B
Detected fault : s@1  SerialFS_TB.FUT._575_.B
Detected fault : s@0  SerialFS_TB.FUT._579_.Y
Detected fault : s@0  SerialFS_TB.FUT._580_.A
Detected fault : s@0  SerialFS_TB.FUT._584_.A
Detected fault : s@0  SerialFS_TB.FUT._585_.B
Detected fault : s@0  SerialFS_TB.FUT._590_.A
Detected fault : s@0  SerialFS_TB.FUT._595_.A
Detected fault : s@0  SerialFS_TB.FUT._596_.Y
Detected fault : s@0  SerialFS_TB.FUT._601_.A
Detected fault : s@0  SerialFS_TB.FUT._602_.B
Detected fault : s@0  SerialFS_TB.FUT._606_.A
Detected fault : s@0  SerialFS_TB.FUT._607_.B
Detected fault : s@0  SerialFS_TB.FUT._612_.A
Detected fault : s@1  SerialFS_TB.FUT._616_.B
Detected fault : s@1  SerialFS_TB.FUT._642_.Y
Detected fault : s@0  SerialFS_TB.FUT._643_.Y
Detected fault : s@1  SerialFS_TB.FUT._691_.B
Detected fault : s@1  SerialFS_TB.FUT._692_.Y
Test Vector number           5 is:  101100111011001001010001111110100001 
Detected fault : s@0  SerialFS_TB.FUT._447_.B
Detected fault : s@0  SerialFS_TB.FUT._469_.Y
Detected fault : s@0  SerialFS_TB.FUT._477_.B
Detected fault : s@0  SerialFS_TB.FUT._700_.Y
Test Vector number           6 is:  100110000010101010011111110010100001 
Detected fault : s@0  SerialFS_TB.FUT._454_.B
Detected fault : s@1  SerialFS_TB.FUT._535_.B
Detected fault : s@1  SerialFS_TB.FUT._546_.B
Detected fault : s@1  SerialFS_TB.FUT._549_.B
Detected fault : s@0  SerialFS_TB.FUT._565_.B
Detected fault : s@0  SerialFS_TB.FUT._581_.B
Detected fault : s@0  SerialFS_TB.FUT._591_.B
Detected fault : s@0  SerialFS_TB.FUT._596_.B
Detected fault : s@0  SerialFS_TB.FUT._630_.B
Detected fault : s@1  SerialFS_TB.FUT._659_.B
Detected fault : s@1  SerialFS_TB.FUT._681_.Y
Test Vector number           7 is:  001110001001000000100011010010101000 
Detected fault : s@1  SerialFS_TB.FUT._456_.B
Detected fault : s@1  SerialFS_TB.FUT._469_.B
Detected fault : s@1  SerialFS_TB.FUT._499_.B
Detected fault : s@0  SerialFS_TB.FUT._535_.Y
Detected fault : s@0  SerialFS_TB.FUT._536_.A
Detected fault : s@0  SerialFS_TB.FUT._546_.Y
Detected fault : s@0  SerialFS_TB.FUT._547_.A
Detected fault : s@1  SerialFS_TB.FUT._581_.Y
Detected fault : s@1  SerialFS_TB.FUT._582_.A
Detected fault : s@1  SerialFS_TB.FUT._591_.Y
Detected fault : s@1  SerialFS_TB.FUT._592_.A
Detected fault : s@1  SerialFS_TB.FUT._624_.Y
Detected fault : s@1  SerialFS_TB.FUT._627_.B
Detected fault : s@1  SerialFS_TB.FUT._646_.Y
Detected fault : s@0  SerialFS_TB.FUT._646_.B
Detected fault : s@1  SerialFS_TB.FUT._660_.Y
Detected fault : s@1  SerialFS_TB.FUT._662_.B
Detected fault : s@1  SerialFS_TB.FUT._700_.B
Test Vector number           8 is:  100010100010010000101000010000011101 
Detected fault : s@0  SerialFS_TB.FUT._459_.Y
Detected fault : s@1  SerialFS_TB.FUT._459_.B
Detected fault : s@0  SerialFS_TB.FUT._470_.Y
Detected fault : s@0  SerialFS_TB.FUT._473_.B
Detected fault : s@1  SerialFS_TB.FUT._504_.Y
Detected fault : s@0  SerialFS_TB.FUT._504_.B
Detected fault : s@1  SerialFS_TB.FUT._506_.Y
Detected fault : s@1  SerialFS_TB.FUT._538_.B
Detected fault : s@0  SerialFS_TB.FUT._581_.Y
Test Vector number           9 is:  110101110100001011101110110001110101 
Detected fault : s@0  SerialFS_TB.FUT._578_.Y
Detected fault : s@0  SerialFS_TB.FUT._590_.Y
Detected fault : s@0  SerialFS_TB.FUT._612_.Y
Test Vector number          10 is:  000111001100000111100011100011101111 
Detected fault : s@1  SerialFS_TB.FUT._649_.Y
Detected fault : s@0  SerialFS_TB.FUT._655_.Y
Test Vector number          11 is:  000110110110001101100100111110100111 
Detected fault : s@0  SerialFS_TB.FUT._481_.Y
Detected fault : s@0  SerialFS_TB.FUT._484_.B
Detected fault : s@1  SerialFS_TB.FUT._500_.Y
Detected fault : s@1  SerialFS_TB.FUT._514_.Y
Detected fault : s@1  SerialFS_TB.FUT._520_.B
Detected fault : s@1  SerialFS_TB.FUT._563_.B
Detected fault : s@1  SerialFS_TB.FUT._564_.Y
Detected fault : s@0  SerialFS_TB.FUT._565_.Y
Detected fault : s@1  SerialFS_TB.FUT._566_.Y
Detected fault : s@1  SerialFS_TB.FUT._576_.A
Detected fault : s@0  SerialFS_TB.FUT._617_.Y
Detected fault : s@1  SerialFS_TB.FUT._617_.B
Detected fault : s@1  SerialFS_TB.FUT._631_.Y
Detected fault : s@0  SerialFS_TB.FUT._631_.B
Detected fault : s@1  SerialFS_TB.FUT._681_.B
Detected fault : s@1  SerialFS_TB.FUT._682_.Y
Detected fault : s@0  SerialFS_TB.FUT._685_.Y
Test Vector number          12 is:  011010010010101000111100010111111010 
Detected fault : s@0  SerialFS_TB.FUT._562_.B
Detected fault : s@1  SerialFS_TB.FUT._563_.Y
Detected fault : s@0  SerialFS_TB.FUT._564_.Y
Detected fault : s@0  SerialFS_TB.FUT._565_.A
Detected fault : s@0  SerialFS_TB.FUT._629_.B
Detected fault : s@0  SerialFS_TB.FUT._652_.B
Detected fault : s@1  SerialFS_TB.FUT._672_.Y
Test Vector number          13 is:  110100001010111011001101111001001101 
Detected fault : s@0  SerialFS_TB.FUT._453_.Y
Detected fault : s@0  SerialFS_TB.FUT._454_.A
Detected fault : s@1  SerialFS_TB.FUT._458_.B
Detected fault : s@1  SerialFS_TB.FUT._483_.Y
Detected fault : s@0  SerialFS_TB.FUT._483_.B
Detected fault : s@0  SerialFS_TB.FUT._503_.Y
Detected fault : s@1  SerialFS_TB.FUT._556_.B
Detected fault : s@1  SerialFS_TB.FUT._557_.Y
Detected fault : s@1  SerialFS_TB.FUT._560_.Y
Detected fault : s@0  SerialFS_TB.FUT._561_.Y
Detected fault : s@0  SerialFS_TB.FUT._562_.A
Detected fault : s@1  SerialFS_TB.FUT._626_.Y
Detected fault : s@0  SerialFS_TB.FUT._626_.B
Detected fault : s@0  SerialFS_TB.FUT._635_.B
Detected fault : s@0  SerialFS_TB.FUT._636_.Y
Detected fault : s@1  SerialFS_TB.FUT._637_.B
Detected fault : s@1  SerialFS_TB.FUT._651_.Y
Detected fault : s@0  SerialFS_TB.FUT._651_.B
Detected fault : s@1  SerialFS_TB.FUT._658_.Y
Detected fault : s@0  SerialFS_TB.FUT._663_.B
Detected fault : s@0  SerialFS_TB.FUT._679_.Y
Detected fault : s@1  SerialFS_TB.FUT._685_.B
Detected fault : s@1  SerialFS_TB.FUT._688_.B
Detected fault : s@0  SerialFS_TB.FUT._690_.B
Test Vector number          14 is:  010110110111101001111010001001111101 
Detected fault : s@0  SerialFS_TB.FUT._484_.Y
Detected fault : s@1  SerialFS_TB.FUT._492_.Y
Detected fault : s@1  SerialFS_TB.FUT._493_.Y
Detected fault : s@0  SerialFS_TB.FUT._543_.B
Detected fault : s@0  SerialFS_TB.FUT._558_.B
Detected fault : s@1  SerialFS_TB.FUT._560_.B
Detected fault : s@1  SerialFS_TB.FUT._561_.Y
Detected fault : s@0  SerialFS_TB.FUT._562_.Y
Detected fault : s@1  SerialFS_TB.FUT._608_.B
Detected fault : s@0  SerialFS_TB.FUT._613_.Y
Detected fault : s@1  SerialFS_TB.FUT._614_.Y
Detected fault : s@0  SerialFS_TB.FUT._619_.Y
Detected fault : s@1  SerialFS_TB.FUT._620_.Y
Detected fault : s@0  SerialFS_TB.FUT._625_.B
Detected fault : s@0  SerialFS_TB.FUT._635_.Y
Detected fault : s@0  SerialFS_TB.FUT._650_.B
Detected fault : s@1  SerialFS_TB.FUT._653_.Y
Detected fault : s@0  SerialFS_TB.FUT._653_.B
Detected fault : s@1  SerialFS_TB.FUT._672_.B
Detected fault : s@1  SerialFS_TB.FUT._675_.Y
Test Vector number          15 is:  000011000011011000100001101111110111 
Detected fault : s@1  SerialFS_TB.FUT._548_.B
Test Vector number          16 is:  010110011001011101011001100000011011 
Detected fault : s@1  SerialFS_TB.FUT._453_.B
Detected fault : s@0  SerialFS_TB.FUT._554_.Y
Detected fault : s@0  SerialFS_TB.FUT._555_.A
Detected fault : s@0  SerialFS_TB.FUT._557_.Y
Detected fault : s@0  SerialFS_TB.FUT._558_.A
Detected fault : s@0  SerialFS_TB.FUT._573_.Y
Detected fault : s@1  SerialFS_TB.FUT._602_.Y
Detected fault : s@1  SerialFS_TB.FUT._603_.A
Detected fault : s@0  SerialFS_TB.FUT._636_.B
Detected fault : s@0  SerialFS_TB.FUT._658_.B
Test Vector number          17 is:  000010110010010010010100110111101010 
Detected fault : s@0  SerialFS_TB.FUT._542_.Y
Detected fault : s@0  SerialFS_TB.FUT._543_.A
Detected fault : s@0  SerialFS_TB.FUT._624_.B
Test Vector number          18 is:  001110110001111101101101111111010110 
Detected fault : s@0  SerialFS_TB.FUT._520_.Y
Detected fault : s@1  SerialFS_TB.FUT._556_.Y
Detected fault : s@0  SerialFS_TB.FUT._576_.Y
Detected fault : s@1  SerialFS_TB.FUT._577_.Y
Detected fault : s@0  SerialFS_TB.FUT._606_.Y
Detected fault : s@1  SerialFS_TB.FUT._607_.Y
Detected fault : s@1  SerialFS_TB.FUT._608_.A
Detected fault : s@1  SerialFS_TB.FUT._689_.B
Test Vector number          19 is:  101110101110100000101110110100110100 
Test Vector number          20 is:  010110001110010101001101111001000010 
Detected fault : s@1  SerialFS_TB.FUT._449_.B
Detected fault : s@0  SerialFS_TB.FUT._465_.Y
Detected fault : s@0  SerialFS_TB.FUT._547_.B
Detected fault : s@0  SerialFS_TB.FUT._647_.B
Detected fault : s@1  SerialFS_TB.FUT._699_.Y
Test Vector number          21 is:  001000101111000110001101000010000110 
Detected fault : s@1  SerialFS_TB.FUT._632_.Y
Test Vector number          22 is:  111010110001001111000110001000110010 
Detected fault : s@1  SerialFS_TB.FUT._452_.A
Detected fault : s@1  SerialFS_TB.FUT._459_.A
Detected fault : s@1  SerialFS_TB.FUT._541_.Y
Detected fault : s@0  SerialFS_TB.FUT._568_.Y
Detected fault : s@1  SerialFS_TB.FUT._569_.Y
Detected fault : s@1  SerialFS_TB.FUT._621_.Y
Detected fault : s@0  SerialFS_TB.FUT._622_.Y
Detected fault : s@0  SerialFS_TB.FUT._623_.A
Detected fault : s@0  SerialFS_TB.FUT._628_.A
Detected fault : s@0  SerialFS_TB.FUT._635_.A
Detected fault : s@0  SerialFS_TB.FUT._638_.A
Detected fault : s@0  SerialFS_TB.FUT._645_.A
Detected fault : s@0  SerialFS_TB.FUT._650_.A
Detected fault : s@0  SerialFS_TB.FUT._657_.A
Detected fault : s@1  SerialFS_TB.FUT._661_.A
Detected fault : s@0  SerialFS_TB.FUT._664_.A
Detected fault : s@1  SerialFS_TB.FUT._672_.A
Detected fault : s@1  SerialFS_TB.FUT._675_.A
Detected fault : s@1  SerialFS_TB.FUT._681_.A
Detected fault : s@1  SerialFS_TB.FUT._688_.A
Detected fault : s@1  SerialFS_TB.FUT._691_.A
Detected fault : s@1  SerialFS_TB.FUT._699_.A
Test Vector number          23 is:  000000000111101000010000110100000001 
Test Vector number          24 is:  111110000100001000110100110111000100 
Detected fault : s@0  SerialFS_TB.FUT._476_.B
Test Vector number          25 is:  111101100111001000000110101110010010 
Detected fault : s@0  SerialFS_TB.FUT._595_.Y
Detected fault : s@1  SerialFS_TB.FUT._618_.B
Detected fault : s@1  SerialFS_TB.FUT._684_.B
Test Vector number          26 is:  011000010111101000011011101011101101 
Detected fault : s@1  SerialFS_TB.FUT._448_.B
Detected fault : s@1  SerialFS_TB.FUT._457_.B
Detected fault : s@0  SerialFS_TB.FUT._486_.Y
Detected fault : s@1  SerialFS_TB.FUT._489_.Y
Detected fault : s@1  SerialFS_TB.FUT._534_.B
Detected fault : s@1  SerialFS_TB.FUT._535_.Y
Detected fault : s@0  SerialFS_TB.FUT._536_.Y
Detected fault : s@1  SerialFS_TB.FUT._537_.Y
Detected fault : s@1  SerialFS_TB.FUT._569_.B
Detected fault : s@1  SerialFS_TB.FUT._614_.B
Detected fault : s@0  SerialFS_TB.FUT._622_.B
Detected fault : s@0  SerialFS_TB.FUT._650_.Y
Detected fault : s@0  SerialFS_TB.FUT._660_.Y
Detected fault : s@1  SerialFS_TB.FUT._661_.B
Detected fault : s@1  SerialFS_TB.FUT._662_.Y
Test Vector number          27 is:  000001010100110100111110110111010110 
Detected fault : s@0  SerialFS_TB.FUT._474_.B
Test Vector number          28 is:  111011000010001011100110111110001010 
Test Vector number          29 is:  101111110101001101110000110100110000 
Detected fault : s@1  SerialFS_TB.FUT._519_.Y
Detected fault : s@1  SerialFS_TB.FUT._575_.Y
Test Vector number          30 is:  101010100111111111110011111100111110 
Detected fault : s@1  SerialFS_TB.FUT._534_.Y
Detected fault : s@1  SerialFS_TB.FUT._553_.Y
Detected fault : s@1  SerialFS_TB.FUT._575_.A
Detected fault : s@0  SerialFS_TB.FUT._601_.Y
Test Vector number          31 is:  010000101011000001011000100001001100 
Detected fault : s@0  SerialFS_TB.FUT._463_.Y
Detected fault : s@0  SerialFS_TB.FUT._465_.B
Detected fault : s@0  SerialFS_TB.FUT._466_.Y
Detected fault : s@0  SerialFS_TB.FUT._471_.Y
Detected fault : s@1  SerialFS_TB.FUT._501_.Y
Detected fault : s@1  SerialFS_TB.FUT._673_.Y
Detected fault : s@1  SerialFS_TB.FUT._679_.B
Test Vector number          32 is:  101101111010000010101110101001101010 
Test Vector number          33 is:  100111100011011101110100110011101100 
Detected fault : s@1  SerialFS_TB.FUT._458_.Y
Detected fault : s@0  SerialFS_TB.FUT._461_.Y
Detected fault : s@1  SerialFS_TB.FUT._462_.Y
Detected fault : s@0  SerialFS_TB.FUT._482_.Y
Detected fault : s@0  SerialFS_TB.FUT._485_.B
Detected fault : s@0  SerialFS_TB.FUT._663_.Y
Detected fault : s@1  SerialFS_TB.FUT._668_.Y
Test Vector number          34 is:  100001000010001110001001011011101110 
Test Vector number          35 is:  111010001110111111011010011111111011 
Detected fault : s@1  SerialFS_TB.FUT._497_.Y
Detected fault : s@0  SerialFS_TB.FUT._540_.B
Detected fault : s@0  SerialFS_TB.FUT._555_.B
Test Vector number          36 is:  001101110100011100001100010101111111 
Detected fault : s@1  SerialFS_TB.FUT._459_.Y
Detected fault : s@1  SerialFS_TB.FUT._460_.B
Detected fault : s@1  SerialFS_TB.FUT._469_.A
Detected fault : s@0  SerialFS_TB.FUT._480_.B
Test Vector number          37 is:  010011010001110101011111001011010001 
Detected fault : s@1  SerialFS_TB.FUT._697_.Y
Test Vector number          38 is:  100100100010001010010111111110010110 
Detected fault : s@1  SerialFS_TB.FUT._456_.Y
Detected fault : s@0  SerialFS_TB.FUT._480_.Y
Detected fault : s@0  SerialFS_TB.FUT._536_.B
Detected fault : s@1  SerialFS_TB.FUT._603_.B
Test Vector number          39 is:  011110111111111011001010001000000011 
Test Vector number          40 is:  100111100111011100001111010101100011 
Test Vector number          41 is:  011101001110111001011100111100110001 
Detected fault : s@1  SerialFS_TB.FUT._452_.Y
Detected fault : s@1  SerialFS_TB.FUT._582_.B
Detected fault : s@1  SerialFS_TB.FUT._586_.Y
Detected fault : s@0  SerialFS_TB.FUT._657_.Y
Detected fault : s@0  SerialFS_TB.FUT._664_.Y
Test Vector number          42 is:  000110101011111111111010000001010100 
Detected fault : s@0  SerialFS_TB.FUT._487_.B
Detected fault : s@0  SerialFS_TB.FUT._488_.Y
Detected fault : s@1  SerialFS_TB.FUT._501_.B
Detected fault : s@0  SerialFS_TB.FUT._519_.B
Detected fault : s@0  SerialFS_TB.FUT._558_.Y
Detected fault : s@0  SerialFS_TB.FUT._577_.B
Detected fault : s@0  SerialFS_TB.FUT._607_.Y
Detected fault : s@1  SerialFS_TB.FUT._637_.Y
Detected fault : s@1  SerialFS_TB.FUT._689_.Y
Test Vector number          43 is:  001101101000010111011010000011101110 
Detected fault : s@1  SerialFS_TB.FUT._539_.Y
